driverId,permanentNumber,code,givenName,familyName,dateOfBirth,nationality,Year,Driver
kevin_magnussen,20,MAG,Kevin,Magnussen,1992-10-05,Danish,2017,Kevin Magnussen
massa,19,MAS,Felipe,Massa,1981-04-25,Brazilian,2017,Felipe Massa
ocon,31,OCO,Esteban,Ocon,1996-09-17,French,2017,Esteban Ocon
jolyon_palmer,30,PAL,Jolyon,Palmer,1991-01-20,British,2017,Jolyon Palmer
perez,11,PER,Sergio,Pérez,1990-01-26,Mexican,2017,Sergio Pérez
raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish,2017,Kimi Räikkönen
ricciardo,3,RIC,Daniel,Ricciardo,1989-07-01,Australian,2017,Daniel Ricciardo
sainz,55,SAI,Carlos,Sainz,1994-09-01,Spanish,2017,Carlos Sainz
stroll,18,STR,Lance,Stroll,1998-10-29,Canadian,2017,Lance Stroll
vandoorne,2,VAN,Stoffel,Vandoorne,1992-03-26,Belgian,2017,Stoffel Vandoorne
max_verstappen,33,VER,Max,Verstappen,1997-09-30,Dutch,2017,Max Verstappen
vettel,5,VET,Sebastian,Vettel,1987-07-03,German,2017,Sebastian Vettel
wehrlein,94,WEH,Pascal,Wehrlein,1994-10-18,German,2017,Pascal Wehrlein
alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish,2018,Fernando Alonso
bottas,77,BOT,Valtteri,Bottas,1989-08-28,Finnish,2018,Valtteri Bottas
ericsson,9,ERI,Marcus,Ericsson,1990-09-02,Swedish,2018,Marcus Ericsson
gasly,10,GAS,Pierre,Gasly,1996-02-07,French,2018,Pierre Gasly
grosjean,8,GRO,Romain,Grosjean,1986-04-17,French,2018,Romain Grosjean
hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,2018,Lewis Hamilton
brendon_hartley,28,HAR,Brendon,Hartley,1989-11-10,New Zealander,2018,Brendon Hartley
hulkenberg,27,HUL,Nico,Hülkenberg,1987-08-19,German,2018,Nico Hülkenberg
leclerc,16,LEC,Charles,Leclerc,1997-10-16,Monegasque,2018,Charles Leclerc
kevin_magnussen,20,MAG,Kevin,Magnussen,1992-10-05,Danish,2018,Kevin Magnussen
ocon,31,OCO,Esteban,Ocon,1996-09-17,French,2018,Esteban Ocon
perez,11,PER,Sergio,Pérez,1990-01-26,Mexican,2018,Sergio Pérez
raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish,2018,Kimi Räikkönen
ricciardo,3,RIC,Daniel,Ricciardo,1989-07-01,Australian,2018,Daniel Ricciardo
sainz,55,SAI,Carlos,Sainz,1994-09-01,Spanish,2018,Carlos Sainz
sirotkin,35,SIR,Sergey,Sirotkin,1995-08-27,Russian,2018,Sergey Sirotkin
stroll,18,STR,Lance,Stroll,1998-10-29,Canadian,2018,Lance Stroll
vandoorne,2,VAN,Stoffel,Vandoorne,1992-03-26,Belgian,2018,Stoffel Vandoorne
max_verstappen,33,VER,Max,Verstappen,1997-09-30,Dutch,2018,Max Verstappen
vettel,5,VET,Sebastian,Vettel,1987-07-03,German,2018,Sebastian Vettel
albon,23,ALB,Alexander,Albon,1996-03-23,Thai,2019,Alexander Albon
bottas,77,BOT,Valtteri,Bottas,1989-08-28,Finnish,2019,Valtteri Bottas
gasly,10,GAS,Pierre,Gasly,1996-02-07,French,2019,Pierre Gasly
giovinazzi,99,GIO,Antonio,Giovinazzi,1993-12-14,Italian,2019,Antonio Giovinazzi
grosjean,8,GRO,Romain,Grosjean,1986-04-17,French,2019,Romain Grosjean
hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,2019,Lewis Hamilton
hulkenberg,27,HUL,Nico,Hülkenberg,1987-08-19,German,2019,Nico Hülkenberg
kubica,88,KUB,Robert,Kubica,1984-12-07,Polish,2019,Robert Kubica
kvyat,26,KVY,Daniil,Kvyat,1994-04-26,Russian,2019,Daniil Kvyat
leclerc,16,LEC,Charles,Leclerc,1997-10-16,Monegasque,2019,Charles Leclerc
kevin_magnussen,20,MAG,Kevin,Magnussen,1992-10-05,Danish,2019,Kevin Magnussen
norris,4,NOR,Lando,Norris,1999-11-13,British,2019,Lando Norris
perez,11,PER,Sergio,Pérez,1990-01-26,Mexican,2019,Sergio Pérez
raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish,2019,Kimi Räikkönen
ricciardo,3,RIC,Daniel,Ricciardo,1989-07-01,Australian,2019,Daniel Ricciardo
russell,63,RUS,George,Russell,1998-02-15,British,2019,George Russell
sainz,55,SAI,Carlos,Sainz,1994-09-01,Spanish,2019,Carlos Sainz
stroll,18,STR,Lance,Stroll,1998-10-29,Canadian,2019,Lance Stroll
max_verstappen,33,VER,Max,Verstappen,1997-09-30,Dutch,2019,Max Verstappen
vettel,5,VET,Sebastian,Vettel,1987-07-03,German,2019,Sebastian Vettel
aitken,89,AIT,Jack,Aitken,1995-09-23,British,2020,Jack Aitken
albon,23,ALB,Alexander,Albon,1996-03-23,Thai,2020,Alexander Albon
bottas,77,BOT,Valtteri,Bottas,1989-08-28,Finnish,2020,Valtteri Bottas
pietro_fittipaldi,51,FIT,Pietro,Fittipaldi,1996-06-25,Brazilian,2020,Pietro Fittipaldi
gasly,10,GAS,Pierre,Gasly,1996-02-07,French,2020,Pierre Gasly
giovinazzi,99,GIO,Antonio,Giovinazzi,1993-12-14,Italian,2020,Antonio Giovinazzi
grosjean,8,GRO,Romain,Grosjean,1986-04-17,French,2020,Romain Grosjean
hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,2020,Lewis Hamilton
hulkenberg,27,HUL,Nico,Hülkenberg,1987-08-19,German,2020,Nico Hülkenberg
kvyat,26,KVY,Daniil,Kvyat,1994-04-26,Russian,2020,Daniil Kvyat
latifi,6,LAT,Nicholas,Latifi,1995-06-29,Canadian,2020,Nicholas Latifi
leclerc,16,LEC,Charles,Leclerc,1997-10-16,Monegasque,2020,Charles Leclerc
kevin_magnussen,20,MAG,Kevin,Magnussen,1992-10-05,Danish,2020,Kevin Magnussen
norris,4,NOR,Lando,Norris,1999-11-13,British,2020,Lando Norris
ocon,31,OCO,Esteban,Ocon,1996-09-17,French,2020,Esteban Ocon
perez,11,PER,Sergio,Pérez,1990-01-26,Mexican,2020,Sergio Pérez
raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish,2020,Kimi Räikkönen
ricciardo,3,RIC,Daniel,Ricciardo,1989-07-01,Australian,2020,Daniel Ricciardo
russell,63,RUS,George,Russell,1998-02-15,British,2020,George Russell
sainz,55,SAI,Carlos,Sainz,1994-09-01,Spanish,2020,Carlos Sainz
stroll,18,STR,Lance,Stroll,1998-10-29,Canadian,2020,Lance Stroll
max_verstappen,33,VER,Max,Verstappen,1997-09-30,Dutch,2020,Max Verstappen
vettel,5,VET,Sebastian,Vettel,1987-07-03,German,2020,Sebastian Vettel
alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish,2021,Fernando Alonso
bottas,77,BOT,Valtteri,Bottas,1989-08-28,Finnish,2021,Valtteri Bottas
gasly,10,GAS,Pierre,Gasly,1996-02-07,French,2021,Pierre Gasly
giovinazzi,99,GIO,Antonio,Giovinazzi,1993-12-14,Italian,2021,Antonio Giovinazzi
hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,2021,Lewis Hamilton
kubica,88,KUB,Robert,Kubica,1984-12-07,Polish,2021,Robert Kubica
latifi,6,LAT,Nicholas,Latifi,1995-06-29,Canadian,2021,Nicholas Latifi
leclerc,16,LEC,Charles,Leclerc,1997-10-16,Monegasque,2021,Charles Leclerc
mazepin,9,MAZ,Nikita,Mazepin,1999-03-02,Russian,2021,Nikita Mazepin
norris,4,NOR,Lando,Norris,1999-11-13,British,2021,Lando Norris
ocon,31,OCO,Esteban,Ocon,1996-09-17,French,2021,Esteban Ocon
perez,11,PER,Sergio,Pérez,1990-01-26,Mexican,2021,Sergio Pérez
raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish,2021,Kimi Räikkönen
ricciardo,3,RIC,Daniel,Ricciardo,1989-07-01,Australian,2021,Daniel Ricciardo
russell,63,RUS,George,Russell,1998-02-15,British,2021,George Russell
sainz,55,SAI,Carlos,Sainz,1994-09-01,Spanish,2021,Carlos Sainz
mick_schumacher,47,MSC,Mick,Schumacher,1999-03-22,German,2021,Mick Schumacher
stroll,18,STR,Lance,Stroll,1998-10-29,Canadian,2021,Lance Stroll
tsunoda,22,TSU,Yuki,Tsunoda,2000-05-11,Japanese,2021,Yuki Tsunoda
max_verstappen,33,VER,Max,Verstappen,1997-09-30,Dutch,2021,Max Verstappen
vettel,5,VET,Sebastian,Vettel,1987-07-03,German,2021,Sebastian Vettel
albon,23,ALB,Alexander,Albon,1996-03-23,Thai,2022,Alexander Albon
alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish,2022,Fernando Alonso
bottas,77,BOT,Valtteri,Bottas,1989-08-28,Finnish,2022,Valtteri Bottas
de_vries,21,DEV,Nyck,de Vries,1995-02-06,Dutch,2022,Nyck de Vries
gasly,10,GAS,Pierre,Gasly,1996-02-07,French,2022,Pierre Gasly
hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,2022,Lewis Hamilton
hulkenberg,27,HUL,Nico,Hülkenberg,1987-08-19,German,2022,Nico Hülkenberg
latifi,6,LAT,Nicholas,Latifi,1995-06-29,Canadian,2022,Nicholas Latifi
leclerc,16,LEC,Charles,Leclerc,1997-10-16,Monegasque,2022,Charles Leclerc
kevin_magnussen,20,MAG,Kevin,Magnussen,1992-10-05,Danish,2022,Kevin Magnussen
norris,4,NOR,Lando,Norris,1999-11-13,British,2022,Lando Norris
ocon,31,OCO,Esteban,Ocon,1996-09-17,French,2022,Esteban Ocon
perez,11,PER,Sergio,Pérez,1990-01-26,Mexican,2022,Sergio Pérez
ricciardo,3,RIC,Daniel,Ricciardo,1989-07-01,Australian,2022,Daniel Ricciardo
russell,63,RUS,George,Russell,1998-02-15,British,2022,George Russell
sainz,55,SAI,Carlos,Sainz,1994-09-01,Spanish,2022,Carlos Sainz
mick_schumacher,47,MSC,Mick,Schumacher,1999-03-22,German,2022,Mick Schumacher
stroll,18,STR,Lance,Stroll,1998-10-29,Canadian,2022,Lance Stroll
tsunoda,22,TSU,Yuki,Tsunoda,2000-05-11,Japanese,2022,Yuki Tsunoda
max_verstappen,33,VER,Max,Verstappen,1997-09-30,Dutch,2022,Max Verstappen
vettel,5,VET,Sebastian,Vettel,1987-07-03,German,2022,Sebastian Vettel
zhou,24,ZHO,Guanyu,Zhou,1999-05-30,Chinese,2022,Guanyu Zhou
albon,23,ALB,Alexander,Albon,1996-03-23,Thai,2023,Alexander Albon
alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish,2023,Fernando Alonso
bottas,77,BOT,Valtteri,Bottas,1989-08-28,Finnish,2023,Valtteri Bottas
de_vries,21,DEV,Nyck,de Vries,1995-02-06,Dutch,2023,Nyck de Vries
gasly,10,GAS,Pierre,Gasly,1996-02-07,French,2023,Pierre Gasly
hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,2023,Lewis Hamilton
hulkenberg,27,HUL,Nico,Hülkenberg,1987-08-19,German,2023,Nico Hülkenberg
lawson,30,LAW,Liam,Lawson,2002-02-11,New Zealander,2023,Liam Lawson
leclerc,16,LEC,Charles,Leclerc,1997-10-16,Monegasque,2023,Charles Leclerc
kevin_magnussen,20,MAG,Kevin,Magnussen,1992-10-05,Danish,2023,Kevin Magnussen
norris,4,NOR,Lando,Norris,1999-11-13,British,2023,Lando Norris
ocon,31,OCO,Esteban,Ocon,1996-09-17,French,2023,Esteban Ocon
perez,11,PER,Sergio,Pérez,1990-01-26,Mexican,2023,Sergio Pérez
piastri,81,PIA,Oscar,Piastri,2001-04-06,Australian,2023,Oscar Piastri
ricciardo,3,RIC,Daniel,Ricciardo,1989-07-01,Australian,2023,Daniel Ricciardo
russell,63,RUS,George,Russell,1998-02-15,British,2023,George Russell
sainz,55,SAI,Carlos,Sainz,1994-09-01,Spanish,2023,Carlos Sainz
sargeant,2,SAR,Logan,Sargeant,2000-12-31,American,2023,Logan Sargeant
stroll,18,STR,Lance,Stroll,1998-10-29,Canadian,2023,Lance Stroll
tsunoda,22,TSU,Yuki,Tsunoda,2000-05-11,Japanese,2023,Yuki Tsunoda
max_verstappen,33,VER,Max,Verstappen,1997-09-30,Dutch,2023,Max Verstappen
zhou,24,ZHO,Guanyu,Zhou,1999-05-30,Chinese,2023,Guanyu Zhou
albon,23,ALB,Alexander,Albon,1996-03-23,Thai,2024,Alexander Albon
alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish,2024,Fernando Alonso
antonelli,12,ANT,Andrea Kimi,Antonelli,2006-08-25,Italian,2024,Andrea Kimi Antonelli
bearman,38,BEA,Oliver,Bearman,2005-05-08,British,2024,Oliver Bearman
bottas,77,BOT,Valtteri,Bottas,1989-08-28,Finnish,2024,Valtteri Bottas
colapinto,43,COL,Franco,Colapinto,2003-05-27,Argentine,2024,Franco Colapinto
doohan,61,DOO,Jack,Doohan,2003-01-20,Australian,2024,Jack Doohan
gasly,10,GAS,Pierre,Gasly,1996-02-07,French,2024,Pierre Gasly
hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,2024,Lewis Hamilton
hulkenberg,27,HUL,Nico,Hülkenberg,1987-08-19,German,2024,Nico Hülkenberg
lawson,30,LAW,Liam,Lawson,2002-02-11,New Zealander,2024,Liam Lawson
leclerc,16,LEC,Charles,Leclerc,1997-10-16,Monegasque,2024,Charles Leclerc
kevin_magnussen,20,MAG,Kevin,Magnussen,1992-10-05,Danish,2024,Kevin Magnussen
norris,4,NOR,Lando,Norris,1999-11-13,British,2024,Lando Norris
ocon,31,OCO,Esteban,Ocon,1996-09-17,French,2024,Esteban Ocon
perez,11,PER,Sergio,Pérez,1990-01-26,Mexican,2024,Sergio Pérez
piastri,81,PIA,Oscar,Piastri,2001-04-06,Australian,2024,Oscar Piastri
ricciardo,3,RIC,Daniel,Ricciardo,1989-07-01,Australian,2024,Daniel Ricciardo
russell,63,RUS,George,Russell,1998-02-15,British,2024,George Russell
sainz,55,SAI,Carlos,Sainz,1994-09-01,Spanish,2024,Carlos Sainz
sargeant,2,SAR,Logan,Sargeant,2000-12-31,American,2024,Logan Sargeant
stroll,18,STR,Lance,Stroll,1998-10-29,Canadian,2024,Lance Stroll
tsunoda,22,TSU,Yuki,Tsunoda,2000-05-11,Japanese,2024,Yuki Tsunoda
max_verstappen,33,VER,Max,Verstappen,1997-09-30,Dutch,2024,Max Verstappen
zhou,24,ZHO,Guanyu,Zhou,1999-05-30,Chinese,2024,Guanyu Zhou
